from,to,value,value.1,type,p.value,fdr.p.value
1,2,1,1,KEGG,NA,NA
1,150,1,1,KEGG,NA,NA
4,3,1,1,KEGG,NA,NA
36,3,1,1,KEGG,NA,NA
103,3,1,1,KEGG,NA,NA
95,4,1,1,KEGG,NA,NA
8,4,1,1,KEGG,NA,NA
10,7,1,1,KEGG,NA,NA
36,7,1,1,KEGG,NA,NA
9,155,1,1,KEGG,NA,NA
39,11,1,1,KEGG,NA,NA
48,11,1,1,KEGG,NA,NA
32,12,1,1,KEGG,NA,NA
39,12,1,1,KEGG,NA,NA
114,15,1,1,KEGG,NA,NA
73,15,1,1,KEGG,NA,NA
43,16,1,1,KEGG,NA,NA
18,19,1,1,KEGG,NA,NA
105,20,1,1,KEGG,NA,NA
26,125,1,1,KEGG,NA,NA
114,26,1,1,KEGG,NA,NA
27,121,1,1,KEGG,NA,NA
27,88,1,1,KEGG,NA,NA
125,29,1,1,KEGG,NA,NA
105,32,1,1,KEGG,NA,NA
32,132,1,1,KEGG,NA,NA
39,32,1,1,KEGG,NA,NA
105,33,1,1,KEGG,NA,NA
112,34,1,1,KEGG,NA,NA
36,159,1,1,KEGG,NA,NA
36,103,1,1,KEGG,NA,NA
36,91,1,1,KEGG,NA,NA
39,156,1,1,KEGG,NA,NA
39,84,1,1,KEGG,NA,NA
39,74,1,1,KEGG,NA,NA
39,132,1,1,KEGG,NA,NA
39,59,1,1,KEGG,NA,NA
57,43,1,1,KEGG,NA,NA
126,46,1,1,KEGG,NA,NA
143,51,1,1,KEGG,NA,NA
111,54,1,1,KEGG,NA,NA
57,135,1,1,KEGG,NA,NA
61,60,1,1,KEGG,NA,NA
111,64,1,1,KEGG,NA,NA
70,69,1,1,KEGG,NA,NA
114,73,1,1,KEGG,NA,NA
121,74,1,1,KEGG,NA,NA
156,85,1,1,KEGG,NA,NA
153,88,1,1,KEGG,NA,NA
136,88,1,1,KEGG,NA,NA
88,160,1,1,KEGG,NA,NA
95,91,1,1,KEGG,NA,NA
159,91,1,1,KEGG,NA,NA
118,107,1,1,KEGG,NA,NA
168,108,1,1,KEGG,NA,NA
111,110,1,1,KEGG,NA,NA
111,153,1,1,KEGG,NA,NA
114,113,1,1,KEGG,NA,NA
124,113,1,1,KEGG,NA,NA
114,125,1,1,KEGG,NA,NA
118,117,1,1,KEGG,NA,NA
118,119,1,1,KEGG,NA,NA
118,120,1,1,KEGG,NA,NA
146,121,1,1,KEGG,NA,NA
124,125,1,1,KEGG,NA,NA
156,132,1,1,KEGG,NA,NA
136,160,1,1,KEGG,NA,NA
146,143,1,1,KEGG,NA,NA
166,144,1,1,KEGG,NA,NA
146,147,1,1,KEGG,NA,NA
156,146,1,1,KEGG,NA,NA
153,179,1,1,KEGG,NA,NA
155,154,1,1,KEGG,NA,NA
158,159,1,1,KEGG,NA,NA
30,1,0.798364936361026,NA,positive_corr,0,0
81,5,0.913848257006152,NA,positive_corr,0,0
178,6,0.737525632262474,NA,positive_corr,0.0000000000000299760216648792,0.0000000000000307648643402708
89,13,0.801080046782472,NA,positive_corr,0,0
120,13,0.887298430007001,NA,positive_corr,0,0
60,24,0.778804615300487,NA,positive_corr,0,0
173,24,0.783310662574606,NA,positive_corr,0,0
74,27,0.898324663894286,NA,positive_corr,0,0
109,27,0.879313173621179,NA,positive_corr,0,0
53,28,0.884292549555707,NA,positive_corr,0,0
149,28,0.787433867932335,NA,positive_corr,0,0
30,29,0.805375366718202,NA,positive_corr,0,0
90,34,0.78000314483022,NA,positive_corr,0,0
102,34,0.807633943287976,NA,positive_corr,0,0
115,34,0.811467789565788,NA,positive_corr,0,0
81,43,0.728421052631579,NA,positive_corr,0.0000000000000883737527601625,0.0000000000000883737527601625
140,50,0.771329751674969,NA,positive_corr,0.000000000000000444089209850063,0.000000000000000524832702550074
78,58,0.777498291182502,NA,positive_corr,0,0
79,58,0.8968755767508,NA,positive_corr,0,0
148,58,0.786493506493506,NA,positive_corr,0,0
173,68,0.746717339165353,NA,positive_corr,0.00000000000000976996261670138,0.0000000000000102980687040906
153,69,0.764933866949375,NA,negative_corr,0.000000000000000888178419700125,0.00000000000000101879289318544
102,73,0.862747778537252,NA,positive_corr,0,0
179,74,0.82051702689032,NA,positive_corr,0,0
87,81,0.92041011619959,NA,positive_corr,0,0
127,86,0.857681870709515,NA,positive_corr,0,0
169,98,0.783749975849043,NA,positive_corr,0,0
173,102,0.831584631493326,NA,positive_corr,0,0
120,107,0.762787518530799,NA,positive_corr,0.00000000000000133226762955019,0.0000000000000014432899320127
146,111,0.850994893968492,NA,positive_corr,0,0
119,115,0.836374076503185,NA,positive_corr,0,0
124,117,0.936622414328528,NA,positive_corr,0,0
168,117,0.798594592832725,NA,positive_corr,0,0
123,122,0.944604700918863,NA,positive_corr,0,0
177,153,0.806698794004767,NA,positive_corr,0,0
180,165,0.763257550507274,NA,positive_corr,0.00000000000000111022302462516,0.00000000000000123710565601089
187,176,0.912480006561949,NA,positive_corr,0,0
10,18,0.821428571428571,0.821428571428571,CID,NA,NA
7,19,0.865168539325843,0.865168539325843,CID,NA,NA
2,22,0.9,0.9,CID,NA,NA
1,24,0.888888888888889,0.888888888888889,CID,NA,NA
15,26,0.923076923076923,0.923076923076923,CID,NA,NA
2,29,0.909090909090909,0.909090909090909,CID,NA,NA
22,29,0.818181818181818,0.818181818181818,CID,NA,NA
15,30,1,1,CID,NA,NA
26,30,0.923076923076923,0.923076923076923,CID,NA,NA
20,32,0.847826086956522,0.847826086956522,CID,NA,NA
24,34,0.862745098039216,0.862745098039216,CID,NA,NA
1,35,0.851063829787234,0.851063829787234,CID,NA,NA
26,36,0.8,0.8,CID,NA,NA
2,37,1,1,CID,NA,NA
22,37,0.9,0.9,CID,NA,NA
29,37,0.909090909090909,0.909090909090909,CID,NA,NA
15,38,0.843137254901961,0.843137254901961,CID,NA,NA
26,38,0.843137254901961,0.843137254901961,CID,NA,NA
30,38,0.843137254901961,0.843137254901961,CID,NA,NA
36,38,0.826086956521739,0.826086956521739,CID,NA,NA
40,45,0.833333333333333,0.833333333333333,CID,NA,NA
28,50,0.948717948717949,0.948717948717949,CID,NA,NA
50,53,0.948717948717949,0.948717948717949,CID,NA,NA
43,54,0.868852459016393,0.868852459016393,CID,NA,NA
52,58,0.980392156862745,0.980392156862745,CID,NA,NA
33,59,0.804878048780488,0.804878048780488,CID,NA,NA
33,63,0.825,0.825,CID,NA,NA
54,64,0.830769230769231,0.830769230769231,CID,NA,NA
28,68,1,1,CID,NA,NA
50,68,0.948717948717949,0.948717948717949,CID,NA,NA
53,68,1,1,CID,NA,NA
15,72,1,1,CID,NA,NA
26,72,0.923076923076923,0.923076923076923,CID,NA,NA
30,72,1,1,CID,NA,NA
38,72,0.843137254901961,0.843137254901961,CID,NA,NA
26,73,0.923076923076923,0.923076923076923,CID,NA,NA
30,73,1,1,CID,NA,NA
38,73,0.843137254901961,0.843137254901961,CID,NA,NA
72,73,1,1,CID,NA,NA
1,76,0.863636363636364,0.863636363636364,CID,NA,NA
24,76,0.851063829787234,0.851063829787234,CID,NA,NA
57,77,0.895833333333333,0.895833333333333,CID,NA,NA
52,78,1,1,CID,NA,NA
52,79,0.980392156862745,0.980392156862745,CID,NA,NA
78,79,0.980392156862745,0.980392156862745,CID,NA,NA
15,80,0.814814814814815,0.814814814814815,CID,NA,NA
26,80,0.884615384615385,0.884615384615385,CID,NA,NA
30,80,0.814814814814815,0.814814814814815,CID,NA,NA
72,80,0.814814814814815,0.814814814814815,CID,NA,NA
73,80,0.814814814814815,0.814814814814815,CID,NA,NA
28,82,0.948717948717949,0.948717948717949,CID,NA,NA
50,82,1,1,CID,NA,NA
53,82,0.948717948717949,0.948717948717949,CID,NA,NA
68,82,0.948717948717949,0.948717948717949,CID,NA,NA
74,86,0.95,0.95,CID,NA,NA
1,86,0.837209302325581,0.837209302325581,CID,NA,NA
76,86,0.8,0.8,CID,NA,NA
5,87,0.891304347826087,0.891304347826087,CID,NA,NA
57,87,0.82,0.82,CID,NA,NA
77,87,0.803921568627451,0.803921568627451,CID,NA,NA
15,89,0.842105263157895,0.842105263157895,CID,NA,NA
26,89,0.909090909090909,0.909090909090909,CID,NA,NA
30,89,0.842105263157895,0.842105263157895,CID,NA,NA
72,89,0.842105263157895,0.842105263157895,CID,NA,NA
73,89,0.842105263157895,0.842105263157895,CID,NA,NA
80,89,0.872727272727273,0.872727272727273,CID,NA,NA
29,90,0.868421052631579,0.868421052631579,CID,NA,NA
3,91,0.937062937062937,0.937062937062937,CID,NA,NA
12,92,0.902857142857143,0.902857142857143,CID,NA,NA
12,93,0.928994082840237,0.928994082840237,CID,NA,NA
92,93,0.925287356321839,0.925287356321839,CID,NA,NA
52,94,0.980392156862745,0.980392156862745,CID,NA,NA
58,94,1,1,CID,NA,NA
78,94,0.980392156862745,0.980392156862745,CID,NA,NA
79,94,1,1,CID,NA,NA
48,98,0.824175824175824,0.824175824175824,CID,NA,NA
49,98,0.961538461538462,0.961538461538462,CID,NA,NA
20,99,0.816326530612245,0.816326530612245,CID,NA,NA
70,100,0.823529411764706,0.823529411764706,CID,NA,NA
24,102,0.846153846153846,0.846153846153846,CID,NA,NA
76,102,0.823529411764706,0.823529411764706,CID,NA,NA
91,103,0.992592592592593,0.992592592592593,CID,NA,NA
84,104,0.8,0.8,CID,NA,NA
15,107,0.96,0.96,CID,NA,NA
26,107,0.96,0.96,CID,NA,NA
30,107,0.96,0.96,CID,NA,NA
38,107,0.877551020408163,0.877551020408163,CID,NA,NA
72,107,0.96,0.96,CID,NA,NA
73,107,0.96,0.96,CID,NA,NA
80,107,0.846153846153846,0.846153846153846,CID,NA,NA
89,107,0.872727272727273,0.872727272727273,CID,NA,NA
74,108,0.846153846153846,0.846153846153846,CID,NA,NA
84,108,0.852941176470588,0.852941176470588,CID,NA,NA
86,108,0.846153846153846,0.846153846153846,CID,NA,NA
153,109,0.810810810810811,0.810810810810811,CID,NA,NA
57,110,0.9,0.9,CID,NA,NA
