id,ID,name,KEGG,CID,mean_diabetic..,mean_non.diabetic..,sd_diabetic..,sd_non.diabetic..,diabetic..__mean_and_sd,non.diabetic..__mean_and_sd,FC_non.diabetic.._diabetic..,class_p.values,class_FDR.p.values,post.hoc_non.diabetic.._diabetic..,kruskal_selected,PC1,PC2,rf_importance,rfe_selected,FC_non.diabetic.._diabetic.._mag,FC_non.diabetic.._diabetic.._dir,FC_non.diabetic.._diabetic.._sig,class_FDR.p.values_sig,FC_non.diabetic.._diabetic.._dir_class_FDR.p.values_sig
1,var1,xylulose,C00310,5289590,1223.1739130434783,764.0754716981132,514.8732105333323,313.0713146243817,1220 +/- 510,764 +/- 310,0.62,1.324761171307805e-4,7.001503497474705e-4,1.3251823377291583e-4,TRUE,0.12100395666599598,-0.05393466440670242,0.07937020960774081,FALSE,0.6896598793878495,-1,FALSE,TRUE,-1_TRUE
10,var10,uracil,C00106,1174,4730.695652173913,3285.830188679245,3505.024217719247,1809.0783005532558,4730 +/- 3500,3290 +/- 1800,0.69,0.007749942938032367,0.018442902181646643,0.0077499429380439855,TRUE,0.08533775365106129,0.1339653743743309,0.02596738103563851,FALSE,0.5353317329965558,-1,FALSE,TRUE,-1_TRUE
100,var100,homocystine,C01817,439579,841.304347826087,541.4905660377359,373.43399499322607,394.34925084252166,841 +/- 370,541 +/- 390,0.64,6.568744714291248e-5,3.832873371202616e-4,6.570256488802606e-5,TRUE,0.08452547157330714,0.018546131162133096,0.02676206413723576,FALSE,0.6438561897747247,-1,FALSE,TRUE,-1_TRUE
101,var101,histidine,C00135,6274,33410.434782608696,40536.45283018868,9780.640520139246,12686.6714834689,33400 +/- 9800,40500 +/- 13000,1.21,0.019549999887536917,0.03952042988018215,0.019549999887609082,TRUE,-0.0367754793225603,0.11623350945895305,0.07549449604403166,FALSE,0.27500704749986976,1,FALSE,TRUE,1_TRUE
102,var102,hexuronic acid,,19770757,15522.304347826086,7559.471698113208,4926.790246238902,3943.758260280383,15500 +/- 4900,7560 +/- 3900,0.49,3.117157616030761e-8,9.767093863563051e-7,3.117159075305409e-8,TRUE,0.13731556536303188,-0.07624830431898613,0.7068658512417473,TRUE,1.0291463456595165,-1,FALSE,TRUE,-1_TRUE
103,var103,guanosine,C00387,6802,230.52173913043478,258.24528301886795,439.53982853612393,496.31875248056133,231 +/- 440,258 +/- 500,1.12,0.27020931188423714,0.3527732682933096,0.2702780839414882,FALSE,0.02107978574961029,0.09572893465080576,NA,FALSE,0.16349873228287956,1,FALSE,FALSE,1_FALSE
104,var104,glycolic acid,C00160,757,6405.347826086957,5638.377358490566,4429.257249540683,1225.233843087406,6410 +/- 4400,5640 +/- 1200,0.88,0.2653888095787941,0.348902770635058,0.2653953433315148,FALSE,0.017631497126345312,-0.09619516873908171,NA,FALSE,0.18442457113742744,-1,FALSE,FALSE,-1_FALSE
105,var105,glycine,C00037,750,210119.47826086957,220593.62264150943,68655.50066280829,70389.11394942852,210000 +/- 69000,221000 +/- 70000,1.05,0.15262451523785395,0.2157399162760642,0.15262451523785292,FALSE,-0.03850229573419659,0.08080385398664928,NA,FALSE,0.070389327891398,1,FALSE,FALSE,1_FALSE
106,var106,glycerol-alpha-phosphate,C00093,754,7325.739130434783,12989.264150943396,4031.764605969037,4514.745470084849,7330 +/- 4000,13000 +/- 4500,1.77,8.976358675827165e-7,1.2053967364682193e-5,8.976358693013609e-7,TRUE,-0.07352123902805821,0.06936750406855675,0.24741260816926453,FALSE,0.8237493603082727,1,FALSE,TRUE,1_TRUE
107,var107,glycerol-3-galactoside,C05401,656504,1783.391304347826,1232.5283018867924,764.2982365977323,662.2265067927922,1780 +/- 760,1230 +/- 660,0.69,0.0011976133472717367,0.003881919125639422,0.0011977063371526597,TRUE,0.10712092700590267,-8.33146647675708e-4,0.09649607966491335,FALSE,0.5353317329965558,-1,FALSE,TRUE,-1_TRUE
108,var108,glyceric acid,C00258,439194,3138.608695652174,2851.3207547169814,1147.393795407283,1349.0455425622633,3140 +/- 1100,2850 +/- 1300,0.91,0.1839930735610103,0.2524868454705835,0.18399307356101113,FALSE,0.011541707260810483,0.038431138480726455,NA,FALSE,0.13606154957602837,-1,FALSE,FALSE,-1_FALSE
109,var109,glutaric acid,C00489,743,1426.2173913043478,310.35849056603774,3857.895728320412,204.0276276860961,1430 +/- 3900,310 +/- 200,0.22,0.06051862849348015,0.10250001943039881,0.06052566263965331,FALSE,0.05076945641764971,-0.013250687411755202,NA,FALSE,2.1844245711374275,-1,FALSE,FALSE,-1_FALSE
11,var11,tyrosine,C00082,6057,110102.86956521739,117015.58490566038,44578.230784160216,29968.461727054353,110000 +/- 45000,117000 +/- 30000,1.06,0.15921737879837586,0.22172494232662712,0.15921737879837294,FALSE,-0.015543962924732294,0.13830659061727904,NA,FALSE,0.08406426478847455,1,FALSE,FALSE,1_FALSE
110,var110,glutamine,C00064,5961,146534.69565217392,132936.77358490566,58502.04303459277,65955.01873177876,147000 +/- 59000,133000 +/- 66000,0.91,0.2605737040249379,0.3449849039203403,0.26057370402493585,FALSE,0.05112594558788803,0.13182472616434807,NA,FALSE,0.13606154957602837,-1,FALSE,FALSE,-1_FALSE
111,var111,glutamic acid,C00025,33032,13399.130434782608,15466.811320754718,5441.528455935785,5648.858230640009,13400 +/- 5400,15500 +/- 5600,1.15,0.0867113451585117,0.13815027872712032,0.08671349925732574,FALSE,-0.030272151034741075,0.028726609179650246,NA,FALSE,0.2016338611696504,1,FALSE,FALSE,1_FALSE
112,var112,glucuronic acid,C00191,94715,29686,19418.962264150945,24803.25592263315,13474.080141233937,29700 +/- 25000,19400 +/- 13000,0.65,0.146241477297742,0.20828331615132953,0.14624147729773862,FALSE,0.05934577459459845,-0.13698724589134292,NA,FALSE,0.6214883767462701,-1,FALSE,FALSE,-1_FALSE
113,var113,glucose-6-phosphate,C00092,5958,1244.3478260869565,525.433962264151,1231.6448207283127,433.04763059373124,1240 +/- 1200,525 +/- 430,0.42,0.0013475382154649498,0.004222286408456843,0.001348256620998467,TRUE,0.06090715153134812,-0.03993440369183199,0.13783451554091566,FALSE,1.2515387669959646,-1,FALSE,TRUE,-1_TRUE
114,var114,glucose,C00031,107526,376619.60869565216,615852.320754717,167393.30096803838,146998.64505638945,377000 +/- 170000,616000 +/- 150000,1.64,4.452244737182361e-7,6.975183421585699e-6,4.4522447584238733e-007,TRUE,-0.10336435310895485,-0.03540623229434955,0.20460363974741347,FALSE,0.7136958148433589,1,FALSE,TRUE,1_TRUE
115,var115,gluconic acid,C00257,10690,796.9565217391304,360.8490566037736,326.2333908361354,223.25764662814808,797 +/- 330,361 +/- 220,0.45,1.4226419370233794e-8,9.767093863563051e-7,1.4245761903453058e-8,TRUE,0.14849775690434502,-0.0636156556302651,1.922159955928115,TRUE,1.15200309344505,-1,FALSE,TRUE,-1_TRUE
